Time,TimeStep,Iteration,Total_Iterations,Max_Velocity_Error,Max_Pressure_Error,CNN_Used,CNN_Active
  3.3506073E-01,    196,      1,    405,  8.5430591E-05,  2.2382472E-10,0,1
  3.3599326E-01,    197,      1,    407,  8.5731273E-05,  2.1581426E-10,0,1
  3.3692579E-01,    198,      1,    409,  8.6057691E-05,  2.1391144E-10,0,1
  3.3785832E-01,    199,      1,    411,  8.6412882E-05,  2.2954842E-10,0,1
  3.3879085E-01,    200,      1,    413,  8.6796364E-05,  2.0861535E-10,0,1
  3.3972338E-01,    201,      1,    415,  8.7204605E-05,  1.9817037E-10,0,1
  3.4065591E-01,    202,      1,    417,  8.7631821E-05,  2.1089226E-10,0,1
  3.4158844E-01,    203,      1,    419,  8.8070904E-05,  2.0213764E-10,0,1
  3.4252097E-01,    204,      1,    421,  8.8514372E-05,  2.4669811E-10,0,1
  3.4345350E-01,    205,      1,    423,  8.8955222E-05,  1.8332003E-10,0,1
  3.4438603E-01,    206,      1,    425,  8.9387639E-05,  2.1464075E-10,0,1
  3.4531856E-01,    207,      1,    427,  8.9807487E-05,  2.3713365E-10,0,1
  3.4625109E-01,    208,      1,    429,  9.0212575E-05,  2.5115754E-10,0,1
  3.4718362E-01,    209,      1,    431,  9.0602691E-05,  2.0918378E-10,0,1
  3.4811615E-01,    210,      1,    433,  9.0979416E-05,  2.0280311E-10,0,1
  3.4904868E-01,    211,      1,    435,  9.1345780E-05,  2.1016738E-10,0,1
  3.4998121E-01,    212,      1,    437,  9.1705787E-05,  2.3635183E-10,0,1
  3.5091374E-01,    213,      1,    439,  9.2063886E-05,  2.2304045E-10,0,1
  3.5184627E-01,    214,      1,    441,  9.2424442E-05,  2.0154812E-10,0,1
  3.5277880E-01,    215,      1,    443,  9.2791266E-05,  2.3296209E-10,0,1
  3.5371133E-01,    216,      1,    445,  9.3167241E-05,  2.2802382E-10,0,1
  3.5464386E-01,    217,      1,    447,  9.3554097E-05,  2.1390179E-10,0,1
  3.5557639E-01,    218,      1,    449,  9.3952324E-05,  2.0594526E-10,0,1
  3.5650892E-01,    219,      1,    451,  9.4361239E-05,  2.2611601E-10,0,1
  3.5744145E-01,    220,      1,    453,  9.4779176E-05,  2.3101165E-10,0,1
  3.5837398E-01,    221,      1,    455,  9.5203779E-05,  2.0886315E-10,0,1
  3.5930651E-01,    222,      1,    457,  9.5632339E-05,  2.3808563E-10,0,1
  3.6023904E-01,    223,      1,    459,  9.6062150E-05,  2.0850588E-10,0,1
  3.6117157E-01,    224,      1,    461,  9.6490830E-05,  2.4019187E-10,0,1
  3.6210410E-01,    225,      1,    463,  9.6916571E-05,  1.9372237E-10,0,1
